Year,"Movie Title",Actor,Kills,"Girls Kissed","Implicitly Slept With (No After Shot)","Explicitly Slept With","Slept With","Enemy Mastermind Believed Bond Dead","Non Human Kills/ Maims/Other","Technological Innovation:","Box Office US Only ($)","Overseas Box Office","Total Box Office","Inflation Adjusted Box Office","Budget ($)","Profitabilty (% of budget recovered)","Audience score","Rotten Tomatoes",Metacritic,,"Budget/Box Office Source:","Alternate Box Office Source:","Other Sources",,,
1997,Tomorrow Never Dies,Brosnan,17,3,1,1,2,1,Satellite,Largest Product Placement Deal in history,125.304.276,207.706.792,333.011.068,476.205.827,110.000.000,302,74%,0,6,0,54,56,,http://www.the-numbers.com/movies/1997/TMRND.php,http://boxofficemojo.com/movies/?id=tomorrowneverdies.htm,http://www.rottentomatoes.com/m/tomorrow_never_dies/,,,
1999,The World is Not Enough,Brosnan,17,3,1,2,3,1,,,126.943.684,234.888.716,361.832.400,499.328.712,135.000.000,268,02%,0,58,0,51,59,,http://www.the-numbers.com/movies/1999/JB19.php,http://boxofficemojo.com/movies/?id=worldisnotenough.htm,http://www.rottentomatoes.com/m/world_is_not_enough/,,,
2002,Die Another Day,Brosnan,16,3,0,2,2,1,Col. Moon,Sending picture texts, I want that!,160.942.139,271.028.977,431.971.116,552.923.028,142.000.000,304,21%,0,53,0,59,56,,http://www.the-numbers.com/movies/2002/JB20.php,http://boxofficemojo.com/movies/?id=dieanotherday.htm,http://www.rottentomatoes.com/m/die_another_day/,,,
2006,Casino Royale,Craig,10,2,0,1,1,1,,,167.445.960,426.793.106,594.239.066,677.432.535,102.000.000,582,59%,0,87,0,94,81,,http://www.the-numbers.com/movies/2006/JB21.php,http://boxofficemojo.com/movies/?id=jamesbond21.htm,http://www.rottentomatoes.com/m/casino_royale/,,,
2008,Quantum of Solace,Craig,15,2,0,1,1,0,,,168.368.427,417.722.300,586.090.727,627.117.078,230.000.000,254,82%,0,62,0,65,58,,http://www.the-numbers.com/movies/2008/JB22.php,http://boxofficemojo.com/movies/?id=jamesbond22.htm,http://www.rottentomatoes.com/m/quantum_of_solace/,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals,,220,61,25,26,51,14,,Averages:,70.592.622,152.650.863,223.243.485,12.896.625.844,47.513.636,469,85%,64,95%,70,86%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,Source:,,,,,,,,,,,,,,,,
,http://www.bondmovies.com/news/55.shtml,,,,,,,,,http://theinstitute.ieee.org/technology-focus/technology-history/engineering-and-popular-culture-the-innovation-of-james-bond377,,,,http://www.bls.gov/data/inflation_calculator.htm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,*Never Say Never Again is not included as it is not considered Bond canon,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
